bill_no,goods_no,qty,process_type,create_time,deadline_time,band
1180813488404130 ,14767,80,1,2018/8/16 0:00,2018/8/16 23:59,B
1180813507502230 ,17574,150,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814537004150 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537006200 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537103700 ,21033,1,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814537103700 ,21034,1,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814537104000 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537107240 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537109350 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537203100 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537206890 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537208390 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537300100 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537304010 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537305170 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537305430 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537401060 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537401250 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537404210 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537406180 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537500210 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537606910 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537607220 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537700500 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537803050 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537900730 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814537903520 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538003560 ,21034,2,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814538004210 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538004720 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538006860 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538009440 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538102940 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538104870 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538200950 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538304580 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538400810 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538402500 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538403130 ,16773,10,1,2018/8/16 0:00,2018/8/16 23:59,B
1180814538404080 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538500460 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538505370 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538600210 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538600900 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538601230 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538605070 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538703580 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538804140 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538806120 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814538909530 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539003500 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539003530 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539006530 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539203910 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539204150 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539204250 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539204400 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539206160 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539206330 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539302240 ,21034,1,1,2018/8/16 0:00,2018/8/16 23:59,A
